State,Zip,County,Primary City,MFG Rep,fips_code
AK,99553,Aleutians East Borough,Akutan,,02013
AK,99546,Aleutians West Census Area,Adak,,02016
AK,99501,Anchorage Municipality,Anchorage,,02020
AK,99545,Bethel Census Area,Kongiganak,,02050
AK,99613,Bristol Bay Borough,King Salmon,,02060
AK,99574,Chugach Census Area,Cordova,,02063
AK,99802,City and Borough of Juneau,Juneau,,02110
AK,99566,Copper River Census Area,Chitina,,02066
AK,99704,Denali Borough,Clear,,02068
AK,99555,Dillingham Census Area,Aleknagik,,02070
AK,99701,Fairbanks North Star Borough,Fairbanks,,02090
AK,99827,Haines Borough,Haines,,02100
AK,99820,Hoonah-Angoon Census Area,Angoon,,02105
AK,99801,Juneau City and Borough,Juneau,,02110
AK,99556,Kenai Peninsula Borough,Anchor Point,,02122
AK,99901,Ketchikan Gateway Borough,Ketchikan,,02130
AK,99550,Kodiak Island Borough,Port Lions,,02150
AK,99554,Kusilvak Census Area,Alakanuk,,02158
AK,99548,Lake and Peninsula Borough,Chignik Lake,,02164
AK,99623,Matanuska-Susitna Borough,Wasilla,,02170
AK,99509,Municipality of Anchorage,Anchorage,,02020
AK,99659,Nome Census Area,Saint Michael,,02180
AK,99510,North Slope Borough,Anchorage,,02185
AK,99727,Northwest Arctic Borough,Buckland,,02188
AK,99833,Petersburg Borough,Petersburg,,02195
AK,99830,Prince of Wales-Hyder Census Area,Kake,,02198
AK,99950,Prince of Wales-Outer Ketchikan Borough,Ketchikan,,02198
AK,99835,Sitka City and Borough,Sitka,,02220
AK,99840,Skagway Municipality,Skagway,,02230
AK,99706,Southeast Fairbanks Census Area,Fairbanks,,02240
AK,99903,Wrangell City and Borough,Meyers Chuck,,02275
AK,99689,Yakutat City and Borough,Yakutat,,02282
AK,99558,Yukon-Koyukuk Census Area,Anvik,,02290
AL,36003,Autauga County,Autaugaville,Open Air Products,01001
AL,36507,Baldwin County,Bay Minette,Open Air Products,01003
AL,36016,Barbour County,Clayton,Open Air Products,01005
AL,35034,Bibb County,Brent,Open Air Products,01007
AL,35013,Blount County,Allgood,Open Air Products,01009
AL,36029,Bullock County,Fitzpatrick,Open Air Products,01011
AL,36015,Butler County,Chapman,Open Air Products,01013
AL,36201,Calhoun County,Anniston,Open Air Products,01015
AL,36854,Chambers County,Valley,Open Air Products,01017
AL,35959,Cherokee County,Cedar Bluff,Open Air Products,01019
AL,35045,Chilton County,Clanton,Open Air Products,01021
AL,36904,Choctaw County,Butler,Open Air Products,01023
AL,36436,Clarke County,Dickinson,Open Air Products,01025
AL,35082,Clay County,Hollins,Open Air Products,01027
AL,36261,Cleburne County,Edwardsville,Open Air Products,01029
AL,36323,Coffee County,Elba,Open Air Products,01031
AL,35616,Colbert County,Cherokee,Open Air Products,01033
AL,36401,Conecuh County,Evergreen,Open Air Products,01035
AL,35072,Coosa County,Goodwater,Open Air Products,01037
AL,36028,Covington County,Dozier,Open Air Products,01039
AL,36009,Crenshaw County,Brantley,Open Air Products,01041
AL,35019,Cullman County,Baileyton,Open Air Products,01043
AL,36311,Dale County,Ariton,Open Air Products,01045
AL,36701,Dallas County,Selma,Open Air Products,01047
AL,35961,DeKalb County,Collinsville,Open Air Products,01049
AL,36020,Elmore County,Coosada,Open Air Products,01051
AL,36426,Escambia County,Brewton,Open Air Products,01053
AL,35901,Etowah County,Gadsden,Open Air Products,01055
AL,35542,Fayette County,Bankston,Open Air Products,01057
AL,35571,Franklin County,Hodges,Open Air Products,01059
AL,36313,Geneva County,Bellwood,Open Air Products,01061
AL,35443,Greene County,Boligee,Open Air Products,01063
AL,35441,Hale County,Akron,Open Air Products,01065
AL,36310,Henry County,Abbeville,Open Air Products,01067
AL,36301,Houston County,Dothan,Open Air Products,01069
AL,35740,Jackson County,Bridgeport,Open Air Products,01071
AL,35005,Jefferson County,Adamsville,Open Air Products,01073
AL,35544,Lamar County,Beaverton,Open Air Products,01075
AL,35610,Lauderdale County,Anderson,Open Air Products,01077
AL,35618,Lawrence County,Courtland,Open Air Products,01079
AL,36801,Lee County,Opelika,Open Air Products,01081
AL,35611,Limestone County,Athens,Open Air Products,01083
AL,36032,Lowndes County,Fort Deposit,Open Air Products,01085
AL,36031,Macon County,Fort Davis,Open Air Products,01087
AL,35741,Madison County,Brownsboro,Open Air Products,01089
AL,36732,Marengo County,Demopolis,Open Air Products,01091
AL,35543,Marion County,Bear Creek,Open Air Products,01093
AL,35016,Marshall County,Arab,Open Air Products,01095
AL,36505,Mobile County,Axis,Open Air Products,01097
AL,36425,Monroe County,Beatrice,Open Air Products,01099
AL,36013,Montgomery County,Cecil,Open Air Products,01101
AL,35601,Morgan County,Decatur,Open Air Products,01103
AL,36756,Perry County,Marion,Open Air Products,01105
AL,35442,Pickens County,Aliceville,Open Air Products,01107
AL,36005,Pike County,Banks,Open Air Products,01109
AL,36263,Randolph County,Graham,Open Air Products,01111
AL,36851,Russell County,Cottonton,Open Air Products,01113
AL,35007,Shelby County,Alabaster,Open Air Products,01117
AL,35182,Saint Clair County,Wattsville,Open Air Products,01117
AL,35004,St. Clair County,Moody,Open Air Products,01115
AL,35459,Sumter County,Emelle,Open Air Products,01119
AL,35014,Talladega County,Alpine,Open Air Products,01121
AL,35010,Tallapoosa County,Alexander City,Open Air Products,01123
AL,35111,Tuscaloosa County,Mc Calla,Open Air Products,01125
